Date,Real Price of Lumber
12/1/2010,285.5834783
1/1/2011,311.647619
2/1/2011,306.081
3/1/2011,312.2043478
4/1/2011,254.7273684
5/1/2011,237.0545455
6/1/2011,230.6454545
7/1/2011,260.847619
8/1/2011,228.6166667
9/1/2011,246.5571429
10/1/2011,222.6980952
11/1/2011,232.7190476
12/1/2011,237.7466667
1/1/2012,245.16
2/1/2012,266.618
3/1/2012,268.6047619
4/1/2012,268.627
5/1/2012,284.6
6/1/2012,276.8390476
7/1/2012,285.9095238
8/1/2012,294.6791304
9/1/2012,275.4105263
10/1/2012,293.5086957
11/1/2012,327.5380952
12/1/2012,357.223
1/1/2013,367.7904762
2/1/2013,382.4547368
3/1/2013,392.765
4/1/2013,365.9127273
5/1/2013,319.8454545
6/1/2013,295.255
7/1/2013,317.1227273
8/1/2013,312.5109091
9/1/2013,340.92
10/1/2013,346.7591304
11/1/2013,366.145
12/1/2013,362.2942857
1/1/2014,361.847619
2/1/2014,357.3652632
3/1/2014,342.3736842
4/1/2014,331.692381
5/1/2014,329.3619048
6/1/2014,316.62
7/1/2014,330.9409091
8/1/2014,344.5790476
9/1/2014,333.9619048
10/1/2014,336.5869565
11/1/2014,324.5157895
12/1/2014,335.4621053
1/1/2015,316.1263158
2/1/2015,306.6221053
3/1/2015,282.3136364
4/1/2015,258.7609524
5/1/2015,258.655
6/1/2015,289.3809091
7/1/2015,273.4857143
8/1/2015,249.9
9/1/2015,229.4380952
10/1/2015,249.6218182
11/1/2015,246.015
12/1/2015,259.0445455
1/1/2016,244.3736842
2/1/2016,253.246
3/1/2016,290.8818182
4/1/2016,290.2666667
5/1/2016,310.252381
6/1/2016,300.13
7/1/2016,325.68
8/1/2016,321.0486957
9/1/2016,315.0666667
10/1/2016,321.0028571
11/1/2016,319.152381
12/1/2016,318.2238095
1/1/2017,327.28
2/1/2017,364.1515789
3/1/2017,369.6130435
4/1/2017,387.7736842
5/1/2017,371.65
6/1/2017,360.5781818
7/1/2017,373.54
8/1/2017,371.6730435
9/1/2017,385.47
10/1/2017,424.9209091
11/1/2017,441.0952381
12/1/2017,434.121
1/1/2018,468.3095238
2/1/2018,500.3452632
3/1/2018,489.547619
4/1/2018,540.187619
5/1/2018,597.9818182
6/1/2018,565.0238095
7/1/2018,505.4095238
8/1/2018,437.0965217
9/1/2018,367.0842105
10/1/2018,328.473913
11/1/2018,348.2619048
12/1/2018,328.007
1/1/2019,360.6238095
2/1/2019,408.7621053
3/1/2019,380.0333333
4/1/2019,344
5/1/2019,331.1590909
6/1/2019,363.089
7/1/2019,353.4909091
8/1/2019,362.2490909
9/1/2019,371.815
10/1/2019,382.6426087
11/1/2019,404.585
12/1/2019,406.967619
1/1/2020,425.2952381
2/1/2020,440.4947368
3/1/2020,341.4045455
4/1/2020,312.5266667
5/1/2020,353.62
6/1/2020,388.4963636
7/1/2020,514.5272727
8/1/2020,736.4238095
9/1/2020,619.5095238
10/1/2020,542.7445455
11/1/2020,583.15
12/1/2020,786.3936364
1/1/2021,739.4368421
2/1/2021,946.0368421
3/1/2021,898.9565217
4/1/2021,1240.504762
5/1/2021,1439.07
6/1/2021,1016.010909
7/1/2021,658.1238095
